"name","touristArrivals","tourismReceipts","pop2020"
"Equatorial Guinea",0,0,"1402.9850"
"Gabon",0,0,"2225.7340"
"Libya",0,60000000,"6871.2920"
"Turkmenistan",0,0,"6031.2000"
"Guinea-Bissau",22000,1319000000,"1968.0010"
"Djibouti",51000,1833000000,988
"Central African Republic",54000,11000000,"4829.7670"
"San Marino",60000,0,"33.9310"
"Chad",71000,0,"16425.8640"
"Moldova",121000,243000000,"4033.9630"
"Grenada",135000,149000000,"112.5230"
"Eritrea",142000,48000000,"3546.4210"
"Niger",152000,77000000,"24206.6440"
"Burkina Faso",152000,72122000000,"20903.2730"
"Tajikistan",160000,248000000,"9537.6450"
"Gambia",161000,116000000,"2416.6680"
"Mali",173000,200000000,"20250.8330"
"Burundi",187000,22000000,"11890.7840"
"French Guiana",189000,0,"298.6820"
"French Polynesia",192000,488000000,"280.9080"
"Kuwait",203000,599000000,"4270.5710"
"Bhutan",210000,91000000,"771.6080"
"Republic of the Congo",211000,27000000,"5518.0870"
"Brunei",219000,144000000,"437.4790"
"Guyana",235000,0,"786.5520"
"Bermuda",244000,513000000,"62.2780"
"Haiti",255000,504000000,"11402.5280"
"Suriname",257000,546000000,"586.6320"
"Benin",267000,123000000,"12123.2000"
"Madagascar",293000,750000000,"27691.0180"
"Bangladesh",303000,133000000,"164689.3830"
"Seychelles",303000,414000000,"98.3470"
"Monaco",336000,0,"39.2420"
"Togo",338000,0,"8278.7240"
"Saint Lucia",348000,404000000,"183.6270"
"DR Congo",351000,4000000,"89561.4030"
"Cayman Islands",385000,686000000,"65.7220"
"Angola",397000,623000000,"32866.2720"
"Palestine",400000,235000000,"5101.4140"
"Mongolia",404000,316000000,"3278.2900"
"British Virgin Islands",408000,389000000,"30.2310"
"Trinidad and Tobago",409000,464000000,"1399.4880"
"Lesotho",414000,823000000,"2142.2490"
"Reunion",458000,360000000,"895.3120"
"Martinique",519000,365000000,"375.2650"
"Cameroon",569000,505000000,"26545.8630"
"Guadeloupe",580000,0,"400.1240"
"Cape Verde",598000,370000000,"555.9870"
"Venezuela",601000,473000000,"28435.9400"
"Barbados",632000,1040000000,"287.3750"
"United States Virgin Islands",667000,1343000000,"104.4250"
"Liechtenstein",697000,0,"38.1280"
"Nepal",753000,446000000,"29136.8080"
"Bosnia and Herzegovina",777000,724000000,"3280.8190"
"Fiji",792000,777000000,"896.4450"
"Sudan",800000,1029000000,"43849.2600"
"Malawi",849000,631000000,"19129.9520"
"Ethiopia",871000,346000000,"114963.5880"
"Dominica",879000,0,"71.9860"
"Senegal",900000,453000000,"16743.9270"
"Pakistan",907000,322000000,"220892.3400"
"Honduras",908000,693000000,"9904.6070"
"Ghana",931000,846000000,"31072.9400"
"Rwanda",932000,390000000,"12952.2180"
"Zambia",956000,683000000,"18383.9550"
"Bolivia",959000,713000000,"11673.0210"
"Uzbekistan",975000,121000000,"33469.2030"
"Yemen",1025000,1161000000,"29825.9640"
"Luxembourg",1054000,4076000000,"625.9780"
"Aruba",1102000,1625000000,"106.7660"
"Tanzania",1233000,2132000000,"59734.2180"
"Guinea",1260000,0,"13132.7950"
"Armenia",1260000,968000000,"2963.2430"
"Kenya",1268000,824000000,"53771.2960"
"Mauritius",1275000,1572000000,"1271.7680"
"Serbia",1281000,1151000000,"8737.3710"
"Maldives",1286000,2506000000,"540.5440"
"Paraguay",1308000,519000000,"7132.5380"
"Uganda",1323000,1060000000,"45741.0070"
"Ecuador",1418000,1444000000,"17643.0540"
"El Salvador",1434000,829000000,"6486.2050"
"Namibia",1469000,307000000,"2540.9050"
"Bahamas",1482000,2591000000,"393.2440"
"Nicaragua",1504000,642000000,"6624.5540"
"Iraq",1518000,2423000000,"40222.4930"
"Guatemala",1585000,1550000000,"17915.5680"
"Mozambique",1639000,108000000,"31255.4350"
"Montenegro",1662000,925000000,"628.0660"
"Lebanon",1688000,7044000000,"6825.4450"
"Iceland",1792000,2395000000,"341.2430"
"Latvia",1793000,867000000,"1886.1980"
"Ivory Coast",1800000,379000000,"26378.2740"
"Nigeria",1889000,1070000000,"206139.5890"
"Panama",1921000,4404000000,"4314.7670"
"Malta",1966000,1449000000,"441.5430"
"Botswana",1973000,578000000,"2351.6270"
"Belarus",2000000,790000000,"9449.3230"
"Algeria",2039000,209000000,"43851.0440"
"Azerbaijan",2045000,2714000000,"10139.1770"
"Sri Lanka",2051000,3518000000,"21413.2490"
"Zimbabwe",2168000,890000000,"14862.9240"
"Jamaica",2182000,2539000000,"2961.1670"
"Oman",2292000,1725000000,"5106.6260"
"Lithuania",2296000,1206000000,"2722.2890"
"Romania",2481000,1738000000,"19237.6910"
"Georgia",2721000,2166000000,"3989.1670"
"Finland",2789000,2731000000,"5540.7200"
"Andorra",2831000,0,"77.2650"
"Israel",2900000,5883000000,"8655.5350"
"Myanmar",2907000,2260000000,"54409.8000"
"Costa Rica",2925000,3716000000,"5094.1180"
"Kyrgyzstan",2930000,432000000,"6524.1950"
"Qatar",2938000,5411000000,"2881.0530"
"Kazakhstan",2991000,1549000000,"18776.7070"
"Slovenia",3032000,2424000000,"2078.9380"
"Uruguay",3037000,2071000000,"3473.7300"
"Estonia",3131000,1489000000,"1326.5350"
"Cyprus",3187000,2755000000,"1207.3590"
"Laos",3315000,712000000,"7275.5600"
"Colombia",3317000,4522000000,"50882.8910"
"New Zealand",3370000,9475000000,"4822.2330"
"Jordan",3567000,4044000000,"10203.1340"
"Puerto Rico",3736000,3985000000,"2860.8530"
"Peru",3744000,3501000000,"32971.8540"
"Sierra Leone",3954000,0,"7976.9830"
"Cuba",3975000,2907000000,"11326.6160"
"Albania",4070000,1691000000,"2877.7970"
"Bahrain",4372000,3642000000,"1701.5750"
"Iran",4942000,3713000000,"83992.9490"
"Cambodia",5012000,3208000000,"16718.9650"
"Egypt",5258000,2645000000,"102334.4040"
"Slovakia",5415000,2748000000,"5459.6420"
"Chile",5641000,2665000000,"19116.2010"
"Tunisia",5724000,1236000000,"11818.6190"
"Dominican Republic",5959000,6720000000,"10847.9100"
"Norway",5960000,5204000000,"5421.2410"
"Philippines",5967000,5143000000,"109581.0780"
"Brazil",6547000,6024000000,"212559.4170"
"Sweden",6559000,12754000000,"10099.2650"
"Argentina",6638000,4686000000,"45195.7740"
"Belgium",7481000,11612000000,"11589.6230"
"Bulgaria",8252000,3634000000,"6948.4450"
"Australia",8269000,37040000000,"25499.8840"
"Syria",8546000,6190000000,"17500.6580"
"Vietnam",10013000,8250000000,"97338.5790"
"South Africa",10044000,7910000000,"59308.6900"
"Ireland",10100000,5186000000,"4937.7860"
"Morocco",10332000,6549000000,"36910.5600"
"Switzerland",10402000,16257000000,"8654.6220"
"Taiwan",10690000,13375000000,"23816.7750"
"Denmark",10781000,7047000000,"5792.2020"
"Indonesia",11072000,11206000000,"273523.6150"
"Czech Republic",12808000,6309000000,"10708.9810"
"Singapore",12914000,18945000000,"5850.3420"
"Ukraine",13333000,1078000000,"43733.7620"
"Croatia",13809000,9634000000,"4105.2670"
"India",14570000,22427000000,"1380004.3850"
"United Arab Emirates",14870000,19496000000,"9890.4020"
"Hungary",15256000,5664000000,"9660.3510"
"Netherlands",15828000,14054000000,"17134.8720"
"South Korea",17242000,17332000000,"51269.1850"
"Poland",17463000,10977000000,"37846.6110"
"Saudi Arabia",18044000,11096000000,"34813.8710"
"Portugal",18200000,771000000,"10196.7090"
"Canada",19971000,18021000000,"37742.1540"
"Japan",24039000,30679000000,"126476.4610"
"Russia",24571000,7785000000,"145934.4620"
"Greece",24799000,14619000000,"10423.0540"
"Hong Kong",26553000,32846000000,"7496.9810"
"Malaysia",26757000,18075000000,"32365.9990"
"Austria",28121000,19260000000,"9006.3980"
"Turkey",30289000,18743000000,"84339.0670"
"Thailand",32588000,48792000000,"69799.9780"
"Mexico",35079000,19650000000,"128932.7530"
"Germany",35595000,37455000000,"83783.9420"
"United Kingdom",35814000,47906000000,"67886.0110"
"Italy",52372000,40246000000,"60461.8260"
"China",59270000,44432000000,"1439323.7760"
"Spain",75315000,60503000000,"46754.7780"
"United States",76407000,206902000000,"331002.6510"
"France",82700000,54531000000,"65273.5110"